Bank,Year,Metric,Value
Au Small Finance Bank,FY24,Sales,10554.71
Au Small Finance Bank,FY25,Sales,16063.73
Au Small Finance Bank,FY26,Sales,18636.34
Au Small Finance Bank,FY24,Other Mfr. Exp,232.66
Au Small Finance Bank,FY25,Other Mfr. Exp,322.0
Au Small Finance Bank,FY24,Employee Cost,2106.77
Au Small Finance Bank,FY25,Employee Cost,3151.12
Au Small Finance Bank,FY26,Employee Cost,3848.16
Au Small Finance Bank,FY24,Selling and admin,958.81
Au Small Finance Bank,FY25,Selling and admin,1061.08
Au Small Finance Bank,FY24,Other Expenses,1331.11
Au Small Finance Bank,FY25,Other Expenses,2957.12
Au Small Finance Bank,FY26,Other Expenses,4768.41
Au Small Finance Bank,FY24,Other Income,1697.14
Au Small Finance Bank,FY25,Other Income,2526.31
Au Small Finance Bank,FY26,Other Income,2977.94
Au Small Finance Bank,FY24,Depreciation,225.44
Au Small Finance Bank,FY25,Depreciation,258.51
Au Small Finance Bank,FY24,Interest,5397.63
Au Small Finance Bank,FY25,Interest,8052.15
Au Small Finance Bank,FY26,Interest,9523.66
Au Small Finance Bank,FY24,Profit before tax,1999.43
Au Small Finance Bank,FY25,Profit before tax,2788.06
Au Small Finance Bank,FY26,Profit before tax,3474.05
Au Small Finance Bank,FY24,Tax,464.71
Au Small Finance Bank,FY25,Tax,682.13
Au Small Finance Bank,FY26,Tax,832.79
Au Small Finance Bank,FY24,Net profit,1534.72
Au Small Finance Bank,FY25,Net profit,2105.93
Au Small Finance Bank,FY26,Net profit,2641.26
Au Small Finance Bank,FY24,operating profit,7171.62
Au Small Finance Bank,FY25,operating profit,10581.7
Au Small Finance Bank,FY26,operating profit,12997.71
Au Small Finance Bank,FY24,Equity Share Capital,669.16
Au Small Finance Bank,FY25,Equity Share Capital,744.53
Au Small Finance Bank,FY26,Equity Share Capital,748.27
Au Small Finance Bank,FY24,Reserves,11890.37
Au Small Finance Bank,FY25,Reserves,16421.76
Au Small Finance Bank,FY26,Reserves,18984.5
Au Small Finance Bank,FY24,Borrowings,92661.49
Au Small Finance Bank,FY25,Borrowings,135928.44
Au Small Finance Bank,FY26,Borrowings,166532.7
Au Small Finance Bank,FY24,Other Liabilities/current liabiities,4204.65
Au Small Finance Bank,FY25,Other Liabilities/current liabiities,4750.94
Au Small Finance Bank,FY26,Other Liabilities/current liabiities,5532.0
Au Small Finance Bank,FY24,Total,109425.67
Au Small Finance Bank,FY25,Total,157845.67
Au Small Finance Bank,FY26,Total,191797.47
Au Small Finance Bank,FY24,Net Block,784.13
Au Small Finance Bank,FY25,Net Block,825.03
Au Small Finance Bank,FY26,Net Block,1436.38
Au Small Finance Bank,FY24,Capital Work in Progress,67.46
Au Small Finance Bank,FY25,Capital Work in Progress,87.44
Au Small Finance Bank,FY24,Investments,27133.37
Au Small Finance Bank,FY25,Investments,37847.52
Au Small Finance Bank,FY26,Investments,44793.65
Au Small Finance Bank,FY24,Other Assets,81440.71
Au Small Finance Bank,FY25,Other Assets,119085.68
Au Small Finance Bank,FY26,Other Assets,145567.44
Au Small Finance Bank,FY24,Total,109425.67
Au Small Finance Bank,FY25,Total,157845.67
Au Small Finance Bank,FY26,Total,191797.47
Au Small Finance Bank,FY24,Receivables,0.0
Au Small Finance Bank,FY25,Receivables,0.0
Au Small Finance Bank,FY26,Receivables,0.0
Au Small Finance Bank,FY24,Inventory,0.0
Au Small Finance Bank,FY25,Inventory,0.0
Au Small Finance Bank,FY26,Inventory,0.0
Au Small Finance Bank,FY24,Cash & Bank/ Current assets,4102.16
Au Small Finance Bank,FY25,Cash & Bank/ Current assets,8139.66
Au Small Finance Bank,FY26,Cash & Bank/ Current assets,6973.26
Au Small Finance Bank,FY24,Cash from Operating Activity,2608.07
Au Small Finance Bank,FY25,Cash from Operating Activity,5462.41
Au Small Finance Bank,FY26,Cash from Operating Activity,1828.87
Au Small Finance Bank,FY24,Cash from Investing Activity,-4854.76
Au Small Finance Bank,FY25,Cash from Investing Activity,-4779.63
Au Small Finance Bank,FY26,Cash from Investing Activity,-5090.15
Au Small Finance Bank,FY24,Cash from Financing Activity,-802.15
Au Small Finance Bank,FY25,Cash from Financing Activity,2407.25
Au Small Finance Bank,FY26,Cash from Financing Activity,2318.33
Au Small Finance Bank,FY24,Net Cash Flow,-3048.84
Au Small Finance Bank,FY25,Net Cash Flow,3090.03
Au Small Finance Bank,FY26,Net Cash Flow,-942.95
Au Small Finance Bank,FY24,Gross margin,0.4886046135
Au Small Finance Bank,FY25,Gross margin,0.4987372173
Au Small Finance Bank,FY26,Gross margin,0.4889736933
Au Small Finance Bank,FY24,EBITA Margin/operating margin,0.7008302455
Au Small Finance Bank,FY25,EBITA Margin/operating margin,0.6748252118
Au Small Finance Bank,FY26,EBITA Margin/operating margin,0.6974389821
Au Small Finance Bank,FY24,PBT margin,0.1894348589
Au Small Finance Bank,FY25,PBT margin,0.1735624291
Au Small Finance Bank,FY26,PBT margin,0.1864126755
Au Small Finance Bank,FY24,PAT margin,0.1454061741
Au Small Finance Bank,FY25,PAT margin,0.1310984435
Au Small Finance Bank,FY26,PAT margin,0.1417263261
Au Small Finance Bank,FY24,Return on net worth/ROE,0.1221956554
Au Small Finance Bank,FY25,Return on net worth/ROE,0.1226782258
Au Small Finance Bank,FY26,Return on net worth/ROE,0.1338514562
Au Small Finance Bank,FY24,Current ratio/Quick ratio,0.9756246061
Au Small Finance Bank,FY25,Current ratio/Quick ratio,1.713273584
Au Small Finance Bank,FY26,Current ratio/Quick ratio,1.260531453
Capital Small Finance Bank,FY24,Sales,794.33
Capital Small Finance Bank,FY25,Sales,908.5
Capital Small Finance Bank,FY26,Sales,1048.6
Capital Small Finance Bank,FY24,Other Mfr. Exp,9.8
Capital Small Finance Bank,FY25,Other Mfr. Exp,9.83
Capital Small Finance Bank,FY24,Employee Cost,125.83
Capital Small Finance Bank,FY25,Employee Cost,150.01
Capital Small Finance Bank,FY26,Employee Cost,182.29
Capital Small Finance Bank,FY24,Selling and admin,48.09
Capital Small Finance Bank,FY25,Selling and admin,56.24
Capital Small Finance Bank,FY24,Other Expenses,64.39
Capital Small Finance Bank,FY25,Other Expenses,88.02
Capital Small Finance Bank,FY26,Other Expenses,188.6
Capital Small Finance Bank,FY24,Other Income,68.08
Capital Small Finance Bank,FY25,Other Income,86.02
Capital Small Finance Bank,FY26,Other Income,98.27
Capital Small Finance Bank,FY24,Depreciation,16.9
Capital Small Finance Bank,FY25,Depreciation,16.99
Capital Small Finance Bank,FY24,Interest,449.18
Capital Small Finance Bank,FY25,Interest,498.3
Capital Small Finance Bank,FY26,Interest,587.18
Capital Small Finance Bank,FY24,Profit before tax,148.22
Capital Small Finance Bank,FY25,Profit before tax,175.13
Capital Small Finance Bank,FY26,Profit before tax,188.8
Capital Small Finance Bank,FY24,Tax,36.69
Capital Small Finance Bank,FY25,Tax,43.48
Capital Small Finance Bank,FY26,Tax,47.41
Capital Small Finance Bank,FY24,Net profit,111.53
Capital Small Finance Bank,FY25,Net profit,131.65
Capital Small Finance Bank,FY26,Net profit,141.39
Capital Small Finance Bank,FY24,operating profit,529.32
Capital Small Finance Bank,FY25,operating profit,587.41
Capital Small Finance Bank,FY26,operating profit,677.71
Capital Small Finance Bank,FY24,Equity Share Capital,45.04
Capital Small Finance Bank,FY25,Equity Share Capital,45.25
Capital Small Finance Bank,FY26,Equity Share Capital,45.42
Capital Small Finance Bank,FY24,Reserves,1152.38
Capital Small Finance Bank,FY25,Reserves,1294.89
Capital Small Finance Bank,FY26,Reserves,1415.61
Capital Small Finance Bank,FY24,Borrowings,7949.99
Capital Small Finance Bank,FY25,Borrowings,8643.18
Capital Small Finance Bank,FY26,Borrowings,10517.08
Capital Small Finance Bank,FY24,Other Liabilities/current liabilities,147.87
Capital Small Finance Bank,FY25,Other Liabilities/current liabilities,124.19
Capital Small Finance Bank,FY26,Other Liabilities/current liabilities,165.83
Capital Small Finance Bank,FY24,Total,9295.28
Capital Small Finance Bank,FY25,Total,10107.51
Capital Small Finance Bank,FY26,Total,12143.94
Capital Small Finance Bank,FY24,Net Block,83.73
Capital Small Finance Bank,FY25,Net Block,87.75
Capital Small Finance Bank,FY26,Net Block,96.82
Capital Small Finance Bank,FY24,Investments,1705.71
Capital Small Finance Bank,FY25,Investments,1819.45
Capital Small Finance Bank,FY26,Investments,1973.14
Capital Small Finance Bank,FY24,Other Assets,7505.84
Capital Small Finance Bank,FY25,Other Assets,8200.31
Capital Small Finance Bank,FY26,Other Assets,10073.98
Capital Small Finance Bank,FY24,Total,9295.28
Capital Small Finance Bank,FY25,Total,10107.51
Capital Small Finance Bank,FY26,Total,12143.94
Capital Small Finance Bank,FY24,Receivables,0.0
Capital Small Finance Bank,FY25,Receivables,0.0
Capital Small Finance Bank,FY26,Receivables,0.0
Capital Small Finance Bank,FY24,Inventory,0.0
Capital Small Finance Bank,FY25,Inventory,0.0
Capital Small Finance Bank,FY26,Inventory,0.0
Capital Small Finance Bank,FY24,Cash & Bank/current asset,465.59
Capital Small Finance Bank,FY25,Cash & Bank/current asset,571.41
Capital Small Finance Bank,FY26,Cash & Bank/current asset,412.67
Capital Small Finance Bank,FY24,Cash from Operating Activity,115.89
Capital Small Finance Bank,FY25,Cash from Operating Activity,279.49
Capital Small Finance Bank,FY26,Cash from Operating Activity,-385.09
Capital Small Finance Bank,FY24,Cash from Investing Activity,-165.34
Capital Small Finance Bank,FY25,Cash from Investing Activity,-56.45
Capital Small Finance Bank,FY26,Cash from Investing Activity,-36.7
Capital Small Finance Bank,FY24,Cash from Financing Activity,222.58
Capital Small Finance Bank,FY25,Cash from Financing Activity,-155.13
Capital Small Finance Bank,FY26,Cash from Financing Activity,163.4
Capital Small Finance Bank,FY24,Net Cash Flow,173.13
Capital Small Finance Bank,FY25,Net Cash Flow,67.91
Capital Small Finance Bank,FY26,Net Cash Flow,-258.39
Capital Small Finance Bank,FY24,Gross margin,0.4345171402
Capital Small Finance Bank,FY25,Gross margin,0.4515134838
Capital Small Finance Bank,FY26,Gross margin,0.4400343315
Capital Small Finance Bank,FY24,EBITDA margin,0.6876487102
Capital Small Finance Bank,FY25,EBITDA margin,0.6652724271
Capital Small Finance Bank,FY26,EBITDA margin,0.6462998283
Capital Small Finance Bank,FY24,PBT margin,0.1865975099
Capital Small Finance Bank,FY25,PBT margin,0.1927682994
Capital Small Finance Bank,FY26,PBT margin,0.1800495899
Capital Small Finance Bank,FY24,PAT margin,0.1404076391
Capital Small Finance Bank,FY25,PAT margin,0.144909191
Capital Small Finance Bank,FY26,PAT margin,0.1348369254
Capital Small Finance Bank,FY24,Return on net worth/ROE,0.0931419218
Capital Small Finance Bank,FY25,Return on net worth/ROE,0.09823600519
Capital Small Finance Bank,FY26,Return on net worth/ROE,0.09677419355
Capital Small Finance Bank,FY24,Current ratio/Quick ratio,3.148644079
Capital Small Finance Bank,FY25,Current ratio/Quick ratio,4.601095096
Capital Small Finance Bank,FY26,Current ratio/Quick ratio,2.488512332
ESAF Small Finance Bank,FY24,Sales,3818.53
ESAF Small Finance Bank,FY25,Sales,3862.22
ESAF Small Finance Bank,FY26,Sales,3537.18
ESAF Small Finance Bank,FY24,Other Mfr. Exp,7.99
ESAF Small Finance Bank,FY25,Other Mfr. Exp,9.88
ESAF Small Finance Bank,FY24,Employee Cost,365.43
ESAF Small Finance Bank,FY25,Employee Cost,662.65
ESAF Small Finance Bank,FY26,Employee Cost,692.02
ESAF Small Finance Bank,FY24,Selling and admin,160.48
ESAF Small Finance Bank,FY25,Selling and admin,201.04
ESAF Small Finance Bank,FY24,Other Expenses,1656.21
ESAF Small Finance Bank,FY25,Other Expenses,2278.77
ESAF Small Finance Bank,FY26,Other Expenses,2047.17
ESAF Small Finance Bank,FY24,Other Income,441.72
ESAF Small Finance Bank,FY25,Other Income,467.09
ESAF Small Finance Bank,FY26,Other Income,811.05
ESAF Small Finance Bank,FY24,Depreciation,50.99
ESAF Small Finance Bank,FY25,Depreciation,59.25
ESAF Small Finance Bank,FY24,Interest,1448.73
ESAF Small Finance Bank,FY25,Interest,1810.69
ESAF Small Finance Bank,FY26,Interest,1837.44
ESAF Small Finance Bank,FY24,Profit before tax,570.42
ESAF Small Finance Bank,FY25,Profit before tax,-692.97
ESAF Small Finance Bank,FY26,Profit before tax,-228.4
ESAF Small Finance Bank,FY24,Tax,144.85
ESAF Small Finance Bank,FY25,Tax,-171.58
ESAF Small Finance Bank,FY26,Tax,-62.0
ESAF Small Finance Bank,FY24,Net profit,425.57
ESAF Small Finance Bank,FY25,Net profit,-521.39
ESAF Small Finance Bank,FY26,Net profit,-166.4
ESAF Small Finance Bank,FY24,operating profit,1577.43
ESAF Small Finance Bank,FY25,operating profit,650.63
ESAF Small Finance Bank,FY26,operating profit,797.99
ESAF Small Finance Bank,FY24,Equity Share Capital,514.78
ESAF Small Finance Bank,FY25,Equity Share Capital,515.43
ESAF Small Finance Bank,FY26,Equity Share Capital,515.66
ESAF Small Finance Bank,FY24,Reserves,1977.01
ESAF Small Finance Bank,FY25,Reserves,1433.62
ESAF Small Finance Bank,FY26,Reserves,1264.38
ESAF Small Finance Bank,FY24,Borrowings,23090.33
ESAF Small Finance Bank,FY25,Borrowings,24682.17
ESAF Small Finance Bank,FY26,Borrowings,28602.9
ESAF Small Finance Bank,FY24,Other Liabilities/current liabilities,504.78
ESAF Small Finance Bank,FY25,Other Liabilities/current liabilities,547.07
ESAF Small Finance Bank,FY26,Other Liabilities/current liabilities,485.04
ESAF Small Finance Bank,FY24,Total,26086.9
ESAF Small Finance Bank,FY25,Total,27178.29
ESAF Small Finance Bank,FY26,Total,30867.98
ESAF Small Finance Bank,FY24,Net Block,204.94
ESAF Small Finance Bank,FY25,Net Block,237.12
ESAF Small Finance Bank,FY26,Net Block,515.98
ESAF Small Finance Bank,FY24,Capital Work in Progress,2.61
ESAF Small Finance Bank,FY25,Capital Work in Progress,63.3
ESAF Small Finance Bank,FY24,Investments,5541.02
ESAF Small Finance Bank,FY25,Investments,5995.26
ESAF Small Finance Bank,FY26,Investments,6399.11
ESAF Small Finance Bank,FY24,Other Assets,20338.33
ESAF Small Finance Bank,FY25,Other Assets,20882.61
ESAF Small Finance Bank,FY26,Other Assets,23952.89
ESAF Small Finance Bank,FY24,Total,26086.9
ESAF Small Finance Bank,FY25,Total,27178.29
ESAF Small Finance Bank,FY26,Total,30867.98
ESAF Small Finance Bank,FY24,Receivables,0.0
ESAF Small Finance Bank,FY25,Receivables,0.0
ESAF Small Finance Bank,FY26,Receivables,0.0
ESAF Small Finance Bank,FY24,Inventory,0.0
ESAF Small Finance Bank,FY25,Inventory,0.0
ESAF Small Finance Bank,FY26,Inventory,0.0
ESAF Small Finance Bank,FY24,Cash & Bank/current asset,1214.18
ESAF Small Finance Bank,FY25,Cash & Bank/current asset,1218.27
ESAF Small Finance Bank,FY26,Cash & Bank/current asset,1113.71
ESAF Small Finance Bank,FY24,Cash from Operating Activity,1000.93
ESAF Small Finance Bank,FY25,Cash from Operating Activity,3176.32
ESAF Small Finance Bank,FY24,Cash from Investing Activity,-582.54
ESAF Small Finance Bank,FY25,Cash from Investing Activity,-768.83
ESAF Small Finance Bank,FY24,Cash from Financing Activity,235.1
ESAF Small Finance Bank,FY25,Cash from Financing Activity,-1851.62
ESAF Small Finance Bank,FY24,Net Cash Flow,653.49
ESAF Small Finance Bank,FY25,Net Cash Flow,555.87
ESAF Small Finance Bank,FY24,Gross margin,0.6206053115
ESAF Small Finance Bank,FY25,Gross margin,0.5311789593
ESAF Small Finance Bank,FY26,Gross margin,0.4805353417
ESAF Small Finance Bank,FY24,EBITDA margin,0.426452064
ESAF Small Finance Bank,FY25,EBITDA margin,0.1838010264
ESAF Small Finance Bank,FY26,EBITDA margin,0.2256006197
ESAF Small Finance Bank,FY24,PBT margin,0.1493820921
ESAF Small Finance Bank,FY25,PBT margin,-0.1794227154
ESAF Small Finance Bank,FY26,PBT margin,-0.0645712121
ESAF Small Finance Bank,FY24,PAT margin,0.1114486465
ESAF Small Finance Bank,FY25,PAT margin,-0.1349974885
ESAF Small Finance Bank,FY26,PAT margin,-0.04704312475
ESAF Small Finance Bank,FY24,Return on net worth/ROE,0.1707888707
ESAF Small Finance Bank,FY25,Return on net worth/ROE,-0.2675098125
ESAF Small Finance Bank,FY26,Return on net worth/ROE,-0.09348104537
ESAF Small Finance Bank,FY24,Current ratio/Quick ratio,2.405364713
ESAF Small Finance Bank,FY25,Current ratio/Quick ratio,2.226899665
ESAF Small Finance Bank,FY26,Current ratio/Quick ratio,2.296119908
Equitas Small Finance Bank,FY24,Sales,5486.4
Equitas Small Finance Bank,FY25,Sales,6311.73
Equitas Small Finance Bank,FY26,Sales,6794.24
Equitas Small Finance Bank,FY24,Other Mfr. Exp,35.46
Equitas Small Finance Bank,FY25,Other Mfr. Exp,37.59
Equitas Small Finance Bank,FY24,Employee Cost,1372.33
Equitas Small Finance Bank,FY25,Employee Cost,1624.43
Equitas Small Finance Bank,FY26,Employee Cost,1964.08
Equitas Small Finance Bank,FY24,Selling and admin,676.54
Equitas Small Finance Bank,FY25,Selling and admin,724.9
Equitas Small Finance Bank,FY24,Other Expenses,596.55
Equitas Small Finance Bank,FY25,Other Expenses,1429.19
Equitas Small Finance Bank,FY26,Other Expenses,2372.51
Equitas Small Finance Bank,FY24,Other Income,798.67
Equitas Small Finance Bank,FY25,Other Income,911.49
Equitas Small Finance Bank,FY26,Other Income,1073.55
Equitas Small Finance Bank,FY24,Depreciation,134.42
Equitas Small Finance Bank,FY25,Depreciation,148.15
Equitas Small Finance Bank,FY24,Interest,2406.64
Equitas Small Finance Bank,FY25,Interest,3060.11
Equitas Small Finance Bank,FY26,Interest,3403.07
Equitas Small Finance Bank,FY24,Profit before tax,1063.13
Equitas Small Finance Bank,FY25,Profit before tax,198.85
Equitas Small Finance Bank,FY26,Profit before tax,128.13
Equitas Small Finance Bank,FY24,Tax,264.17
Equitas Small Finance Bank,FY25,Tax,51.8
Equitas Small Finance Bank,FY26,Tax,25.05
Equitas Small Finance Bank,FY24,Net profit,798.96
Equitas Small Finance Bank,FY25,Net profit,147.05
Equitas Small Finance Bank,FY26,Net profit,103.08
Equitas Small Finance Bank,FY24,operating profit,2671.1
Equitas Small Finance Bank,FY25,operating profit,2347.47
Equitas Small Finance Bank,FY26,operating profit,2457.65
Equitas Small Finance Bank,FY24,Equity Share Capital,1134.89
Equitas Small Finance Bank,FY25,Equity Share Capital,1139.86
